hotel_id,name,hotel_link,stars,rating,reviews,address,intro,price,room_type,province
31,Khách Sạn Solare De Monte Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hotel-de-souriant-central-ha-noi,4.0,6.0,,23-25 Nguyễn Siêu,"Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm, Ngay Phố Cổ",1.705.000,Deluxe Window,ha-noi
32,Khách sạn Novotel Suites Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-novotel-suites-ha-noi,4.0,2.0,,"5 Duy Tân, quận Cầu Giấy","Quận Cầu Giấy, Gần Mỹ Đình, Gần TT Hội nghị Quốc gia, Gần ngân hàng, Bể bơi ngoài trời",2.585.000,Superior Studio,ha-noi
33,Khách sạn JW Marriott Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-jw-marriott-ha-noi,5.0,10.0,,"8 Đỗ Đức Dục, quận Nam Từ Liêm","Gần TT Hội nghị Quốc gia, Quận Nam Từ Liêm, Gần Mỹ Đình, Bên hồ",6.804.000,"Deluxe King, Guest room, 1 King",ha-noi
34,Khách sạn Bespoke Trendy Hà Nội,https://www.ivivu.com/khach-san-ha-noi/ha-noi-bespoke-trendy-hotel,4.0,14.0,,12 Nguyễn Quang Bích,"Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm, Gần hồ Hoàn Kiếm, Ngay Phố Cổ",1.786.000,Cozy Deluxe Double or Twin Room,ha-noi
35,Wyndham Skylake Resort & Villas Hà Nội,https://www.ivivu.com/khach-san-ha-noi/wyndham-sky-lake-resort-villas-ha-noi,5.0,1.0,,"Khu hồ Văn Sơn, huyện Chương Mỹ","Khu hồ Văn Sơn, Trong sân golf 36 lỗ",2.066.500,Resort Deluxe Twin,ha-noi
36,Khách sạn Grand Plaza Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-grand-plaza-ha-noi,5.0,2.0,,117 Trần Duy Hưng,"Gần TT Hội nghị Quốc gia, Quận Cầu Giấy, Gần Mỹ Đình, Gần SVĐ Mỹ Đình",7.255.000,Plaza Suite,ha-noi
37,Khách sạn The Lapis Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-the-lapis-ha-noi,4.0,6.0,,"21 Trần Hưng Đạo, quận Hoàn Kiếm","Quận Hoàn Kiếm, Hồ Bơi Vô Cực, Kiến Trúc Cổ Điển, Gần Nhà Hát Lớn Hà Nội, +1, ",2.022.000,Deluxe City View,ha-noi
38,Acoustic Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/acoustic-hotel-spa-ha-noi,4.0,27.0,,"39 Thợ Nhuộm, quận Hoàn Kiếm","Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm, Trang trí đẹp",1.715.500,Premier Deluxe,ha-noi
39,Khách sạn Minasi Grand Hà Nội,https://www.ivivu.com/khach-san-ha-noi/minasi-hotel-spa,4.0,0.0,,"61 Ngõ Huế, Hai Bà Trưng","Nhận/trả phòng [nhanh], Wi-Fi [miễn phí]",1.320.000,Deluxe Room,ha-noi
40,Khách sạn Silk Path Luxury Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-silk-path-ha-noi,4.0,25.0,,"199 Hàng Bông, quận Hoàn Kiếm","Quận Hoàn Kiếm, Gần Phố Cổ & Hồ Gươm, Gần nhà thờ lớn",1.755.500,Deluxe,ha-noi
41,Khách sạn Pan Pacific Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-pan-pacific-ha-noi,5.0,5.0,,"1 Thanh Niên, quận Ba Đình","Quận Ba Đình, Quận Tây Hồ, Ngay Hồ Tây",3.374.500,DELUXE,ha-noi
