hotel_id,name,hotel_link
73,Khách sạn Especen Hà Nội,https://www.ivivu.com/khach-san-ha-noi/especen-hotel
74,Oriental Suites Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-oriental-suites-hotel-spa-ha-noi
75,Khách sạn SQ Hàng Gai Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-sq-hang-gai-ha-noi
76,Khách sạn A25 Phương Liệt Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-a25-63a-phuong-liet
77,Khu nghỉ dưỡng Amour Ba Vì Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khu-nghi-duong-amour-ba-vi-ha-noi
78,Khu căn hộ Daeha Hà Nội,https://www.ivivu.com/khach-san-ha-noi/daeha-ha-noi
79,Hanoi Solo Hotel,https://www.ivivu.com/khach-san-ha-noi/khach-san-maison-d-hanoi-boutique
80,Khách sạn Parkside Sunline Hà Nội,https://www.ivivu.com/khach-san-ha-noi/parkside-sunline-hotel
81,Khách sạn Fortuna Hà Nội,https://www.ivivu.com/khach-san-ha-noi/fortuna-hanoi-hotel
82,Khách sạn Wyndham Garden Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-wyndham-garden-ha-noi
83,May De Ville Luxury Hotel & Spa Hà Nội - Gia Ngư,https://www.ivivu.com/khach-san-ha-noi/may-de-ville-old-quarter
84,Khách sạn One Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-one-ha-noi
85,Khách sạn Thăng Long Opera Hà Nội,https://www.ivivu.com/khach-san-ha-noi/thang-long-opera-hotel
86,Esplendor Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/esplendor-hotel-spa-ha-noi
87,The Hà Nội Club Hotel & Lake Palais Residences,https://www.ivivu.com/khach-san-ha-noi/the-hanoi-club-hotel-lake-palais-residences-11781
88,Khách sạn Millennium Hà Nội,https://www.ivivu.com/khach-san-ha-noi/millennium-ha-noi
89,Hà Nội Boutique Hotel & Spa,https://www.ivivu.com/khach-san-ha-noi/hanoi-boutique-hotel-spa
90,Khách sạn The Ann Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-the-ann-ha-noi
91,Lavender Central Hotel & Spa Hà Nội (tên cũ: Oriental Central),https://www.ivivu.com/khach-san-ha-noi/khach-san-oriental-central-ha-noi
92,Khách sạn Western Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-western-ha-noi
93,Khách sạn The Pearl Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-the-pearl-ha-noi
94,Khách sạn Halo Hà Nội,https://www.ivivu.com/khach-san-ha-noi/dai-duong-hotel-3
95,Tomodachi Retreat - Làng Mít Sơn Tây,https://www.ivivu.com/khach-san-ha-noi/tomodachi-retreat-lang-mit-son-tay
96,Khách sạn Diamond Westlake Suites Hà Nội,https://www.ivivu.com/khach-san-ha-noi/diamond-westlake-suites-ha-noi
97,Khách sạn TK123 Hà Nội,https://www.ivivu.com/khach-san-ha-noi/tk123-hanoi-hotel
98,Khách sạn Anatole Hà Nội,https://www.ivivu.com/khach-san-ha-noi/anatole-ha-noi
99,Khách sạn Hà Nội - Giảng Võ,https://www.ivivu.com/khach-san-ha-noi/ha-noi
100,Khách sạn Royal Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-royal-ha-noi
101,Khách sạn Splendid Premium Hà Nội,https://www.ivivu.com/khach-san-ha-noi/silk-queen-grand-ha-noi
102,Khách sạn Super Candle Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-super-candle-ha-noi
103,Khách sạn Sunway Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-sunway-ha-noi
104,Khách sạn Soleil Boutique Hà Nội,https://www.ivivu.com/khach-san-ha-noi/soleil-boutique-ha-noi
105,Khách sạn Bảo Sơn International Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-bao-son-international
106,Khách sạn La Beaute De Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-la-beaute-de-ha-noi
107,Khách sạn Eden Hà Nội,https://www.ivivu.com/khach-san-ha-noi/eden-ha-noi-hotel
108,Beryl Palace Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-angle-palace-ha-noi
109,La Belle Vie Hotel,https://www.ivivu.com/khach-san-ha-noi/la-belle-vie-hotel
110,Khách sạn La Casa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/la-casa-hanoi-hotel
111,Hanoi Bella Rosa Hotel & Spa,https://www.ivivu.com/khach-san-ha-noi/bella-rosa-hotel
112,Khách sạn Luxury Old Quarter Hà Nội,https://www.ivivu.com/khach-san-ha-noi/luxury-old-quarter-hotel
113,Khách sạn Top Hà Nội,https://www.ivivu.com/khach-san-ha-noi/top-hotel-562080
114,Hà Nội Brilliant Hotel and Spa,https://www.ivivu.com/khach-san-ha-noi/hanoi-brilliant-hotel-and-spa
115,Khách sạn Royal Holiday Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-royal-holiday-ha-noi
116,Aurora Premium Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/delicacy-central-hotel-spa
117,Khách sạn Hanoi Fiesta Central Hotel & Spa,https://www.ivivu.com/khach-san-ha-noi/khach-san-dahlia-ha-noi
118,Babylon Premium Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/babylon-premium-hotel-spa
119,Khách sạn Tirant Hà Nội,https://www.ivivu.com/khach-san-ha-noi/tirant
120,Khách sạn Eternity Hà Nội,https://www.ivivu.com/khach-san-ha-noi/eternity-hotel
121,Khách sạn Skyline Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-skyline-ha-noi
122,Khách sạn Peridot Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-delano-ha-noi
123,The Hanoian Central Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/the-hanoian-central-hotel-ha-noi
124,Khách sạn Royal St Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-royal-st-ha-noi
125,Khách sạn A25 Trần Quốc Toản Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-a25-tran-quoc-toan
126,Khách sạn A25 Hàng Nón Hà Nội,https://www.ivivu.com/khach-san-ha-noi/a25-hotel-hang-non
127,O'Gallery Premier Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/ogallery-premier-hotel-spa-ha-noi
128,Khách sạn Hướng Dương Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-huong-duong-ha-noi
129,Khách sạn M Village Hồ Gươm Hà Nội,https://www.ivivu.com/khach-san-ha-noi/m-village-ho-guom
130,Khách sạn Splendid Holiday Hà Nội,https://www.ivivu.com/khach-san-ha-noi/splendid-holiday-ha-noi
131,Khách sạn Nesta Hà Nội,https://www.ivivu.com/khach-san-ha-noi-station/khach-san-nesta-ha-noi-1
132,Khách sạn Gondola Hà Nội,https://www.ivivu.com/khach-san-ha-noi/gondola-hanoi
133,Classy Holiday Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/classy-holiday-ha-noi
134,Khách sạn Nesta & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi-station/khach-san-nesta-spa-ha-noi
135,Khu Căn Hộ Swiss-Belresidences Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khu-can-ho-epic-tower-swiss-belresidences-ha-noi
136,Khách sạn Newstyle Hà Nội,https://www.ivivu.com/khach-san-ha-noi/newstyle-hanoi-hotel-apartment-44111721
137,Khách sạn Riverside Hanoi,https://www.ivivu.com/khach-san-ha-noi/khach-san-riverside-ha-noi
138,Khách sạn Bluebell Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-bluebell-hotel-ha-noi
139,Khách sạn Hà Nội Pearl,https://www.ivivu.com/khach-san-ha-noi/hanoi-pearl-hotel
140,Khách sạn Flower,https://www.ivivu.com/khach-san-ha-noi/flower-66703
141,Khách sạn và Spa Quốc Hoa Premier,https://www.ivivu.com/khach-san-ha-noi/quoc-hoa-hanoi
142,Khách sạn & Spa Hồng Ngọc Dynastie Boutique,https://www.ivivu.com/khach-san-ha-noi/hong-ngoc-1
143,Khách sạn Aquarius Grand Hà Nội,https://www.ivivu.com/khach-san-ha-noi/hanoi-value
144,Maya Boutique Hotel & Spa Hà Nội,https://www.ivivu.com/khach-san-ha-noi/maya-boutique-hotel-spa
145,Khách sạn Lakeside Palace Hà Nội,https://www.ivivu.com/khach-san-ha-noi/golden-lake-185282
146,Khách sạn Lucky,https://www.ivivu.com/khach-san-ha-noi/lucky-1
147,Khách sạn Hà Nội Serendipity,https://www.ivivu.com/khach-san-ha-noi/vietface-hotel
148,Khách sạn và Spa Holiday Suites,https://www.ivivu.com/khach-san-ha-noi/holiday-diamond-hotel-221212
149,Khách sạn Capital Garden,https://www.ivivu.com/khach-san-ha-noi/capital-garden-hotel-hanoi
150,Khách sạn Rising Dragon Legend,https://www.ivivu.com/khach-san-ha-noi/rising-dragon-legend-hotel
151,La Dolce Vita,https://www.ivivu.com/khach-san-ha-noi/la-dolce-vita-private-enterprise
152,Khách sạn Âu Việt Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-au-viet-ha-noi
153,La Beaute Boutique Hotel & Spa,https://www.ivivu.com/khach-san-ha-noi/khach-san-calypso-suites-ha-noi
154,Smile Hotel,https://www.ivivu.com/khach-san-ha-noi/khach-san-smile-ha-noi
155,Khách sạn Golden Sun Suites,https://www.ivivu.com/khach-san-ha-noi/khach-san-golden-sun-suites-ha-noi
156,Khách sạn Elite Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-elite-ha-noi
157,Khách sạn Golden Sun Villa,https://www.ivivu.com/khach-san-ha-noi/khach-san-golden-sun-villa-ha-noi
158,Khách sạn Hanoi Golden Moon,https://www.ivivu.com/khach-san-ha-noi/khach-san-golden-moon-ha-noi
159,Khách sạn và Spa Hà Nội Paradise,https://www.ivivu.com/khach-san-ha-noi/khach-san-paradise-boutique-ha-noi
160,Khách Sạn và Spa Media Hà Nội,https://www.ivivu.com/khach-san-ha-noi/khach-san-meracus-ha-noi
161,Khách sạn Hà Nội Inner,https://www.ivivu.com/khach-san-ha-noi/khach-san-splendid-star-boutique-ha-noi
